name,cuisine,description,localAddress,phone,rating
Kebabs And Biryani,Indian        ,,"2/6 80 Feet Road, 560094",+91 80 6444 4555,
Kubra Chicken Corner,Fast Food        ,,"3, Castle Street, Opposite Show Off, Ashok Nagar, 560025",+91 93437 22359,
Idly Hut,Chinese        ,,"3, AECS Layout, ITPB Main Road, Near Kundanahalli Post Office, Kundalahalli",+91 94822 05059,
Beijing Bites,Chinese        ,,"10 1st Cross, Near Jyothi Nivas College, 560076",+91 80 4224 6688,
Belgian Swirls Fusion,Belgian European       ,,"Shop no LG2, Anjandari Sriharsh complex, opposite ozone Evergreens, Haralur road, 560102",+91 98730 20403,
California Burrito,Mexican        ,,"Chandana, Kadubeesanahalli, 560103",+91 80 4709 1118,
Peppers,Indian        ,,"40 2nd Main Road, 560009",1.08E+11,
Meghana Mess,Chinese        ,,"82, Opposite Manyatha Tech Park, Outer Ring Road, Nagawara",+91 90088 42375,
Sri Krishna Cafe,Indian        ,,"14/1 1st Street, 560025",+91 80 4215 0015,
Cafe Coffee Day,        ,,"Royal Meenakshi Mall, 4th Floor, Hulimavu, Bannerghatta Road, 560034",+91 80 3234 4456,
Biryani Zone,Indian        ,,"90 Vydehi Hospital Road, 560066",+91 90356 12255,
Santrupti,Indian        ,,"2 Hennur Bagalur Main Road, 560077",+91 78298 38282,
Ristorante Italia Restaurant,Italian        ,,"90/3 Outer Ring Road, Opposite Innovative Multiplex, Marathahalli, 560037",32473344,
Daffodils,Chinese        ,,"1332 24th Main, Near Jain College, Near Jain College, 560069",+91 90083 36162,
Bow Barracks,Indian        ,,"618/1 2nd Main Road, 560037",1.10E+11,
Rajeev Bakery & Juice,Fast Food        ,,"14, B.D.A Complex, Austin Tower, Richmond Road",+91 99020 36690,
Bhojohori Manna,Indian        ,,"659 6th Cross Road, 560095",+91 80 2550 3666,
Prashant Naati Corner,Chinese Caribbean International      ,,"No 38 New Bel Road, Near Devasandra Bus Stand, 560054",+91 98808 93932,
Cafe Chokolade,Fast Food        ,,"Patrick's Complex, 1, Opposite Eva Mall, Brigade Road, 560025",+91 99606 99257,
Rakabdar,Indian        ,,"1 Hosur Road, 560029",+91 80 6533 0026,
Fika Cafe,Cafe        ,,"Virgonagar Post 72/2 Kr Puram Near Garden City College, 560049",,
Oasis,Chinese        ,,"15, Sindy Colony Circle, Wheelers Road, Near Corporation Complex, Frazer Town",+91 80 4113 9191,
Curry Toast,Fast Food        ,,"Mezzanine Floor, Nilgiris Super Market, Brigade Road",+91 80 6571 1111,
Wow China,Chinese Fusion       ,,"No 53/2, Sl No 319, Varthur Hobli, Sarjapur Road, Doddakannelli, 560035",+91 97419 67091,
Club X,Indian        ,,"612/1, Lotus Building, 80 Feet Road, Koramangala Fourth Block, Bangalore, 560095",,
Noorsfamilycuisine,Chinese Indian       ,"A Bangalore based mother & daughter in law duo, passionate home based caterer specializing in bakes, snacks and main courses.","7 Cleveland Road Frazer town, 301 Elegant Cleveland, 560005",+91 99009 38465,
Fresh Italian Cooking,Italian        ,,"Dr Rajkumar Road, 560086",,
Bharat Electronics,Pizza        ,,"Outer Ring Rd, Vyalikaval Hbcs Layout, Nagavara, Bengaluru, Karnataka, 560045",+91 80 2503 9300,
Olive Taphouse,Bar Mediterranean Pub Dining bars     ,Culinary adventures meet skyline dreams | Savor the extraordinary with our sky-high flavors and garden-fresh vibes,"4th Floor, Sir M Visvesvaraya Rd,, Opposite Bosch, BTS Layout, Bilekahalli, 560076",+91 90354 15199,
Abruzzo,Italian        ,,"64 Khb Colony 1st Floor 1st Main Road, Koramangala 7th Block, 560095",,
Bhikaram Chandmal Bhujiawala,        ,,"3136, 13th Cross, 7th Main, Near ESI Hospital, Off Double Road, Indiranagar",+91 80 2297 6861,4.0
Rimo,Asian        ,,"51 Jyothi Niwas College Road, 560034",+91 97406 95063,
Sweet Palate,        ,,"1721 Hsr Layout Opposite Mantralaya Apartment 19'th Main Road 11th Sector, 560029",+91 94480 42710,3.0
Brik Oven,Pizza        ,,"120-a3, Ground Floor, Santosh Tower, 3rd Road, Epip Zone, Whitefield, 560066",+91 80 4814 5609,
Bathinda Junction,Indian        ,,"2331 17th Cross Rd, 560102",+91 80957 66619,3.0
Hill Station Cafe,        ,,"82 2, 560077",,4.5
Santosh Juice Junction,Street Food        ,,"Bellandur Junction, 560103",+91 97311 79620,
Matru Sagar,Cafe        ,,"Shubashree Complex, 50 Feet Road, 1st Stage, Hanumanthanagar, Banashankari, Near Karnataka Bank, 560050",+91 74118 60439,4.5
Hotel Ganga Kaveri Restaurant,        ,,"Kilari Road, Opposite To Anjaneya Swamy Temple, 560053",+91 77600 40046,
The Anzey's,American        ,,"467 5th Main Road, 560010",+91 97397 82828,
Hotel Savaji's Restaurant,        ,,"Opposite R Nagar, Bus Stop, 1st Block, Rajajinagar, 560048",+91 80 2349 5022,5.0
Pizza Corner,Pizza        ,,"Jpn Royal Plaza, 13th Cross, Sampige Road, Malleswaram, 560003",+91 80 3249 6715,
Naadan Bhakshanasaala - Vailankani Restaurant,Japanese        ,,"Venkatesh Reddy Building Krishna Reddy Layout Hosur Road, Near Icici Bank Atm, 560100",+91 97425 71088,
Ms&Mrs,Mexican American Indian Mediterranean     ,"Ms&Mrs is Asia's first ever women's lounge! Here, you have a spa and salon to get pampered, a boutique to get groomed and a lounge bar to party like never before! Men are strictly not allowed! It’s a space exclusively for women and by women.","3rd Floor, No.5 Lancer, 120, Brigade Rd, Ashok Nagar, 560025",+91 72597 50044,
Khasak Restaurant,Chinese Indian Fast Food Arabic     ,"culinary journey that transcends borders and tantalizes taste buds in the heart of Indiranagar, Bangalore. Our multicuisine restaurant offers a diverse and delightful array of flavors, where you can savor the world on a plate.","1134, 100 Feet Road, HAL 2nd Stage, 560038",+91 87921 34446,
Mooch Marod,Indian        ,,"1st Floor 466 17th G Main Road, 560095",+(91)6363391019,
Sriharsha Biryani Delights,        ,"Welcome to Sriharsha Biryani Delights! Indulge in our authentic Hyderabad-style chicken dum biryani, crafted with the finest ingredients and bursting with flavor. Our extensive menu also features an array of delectable starters, each prepared with the same commitment to quality and generous portions. Enjoy an exclusive discount of 30% to 40% on your order, making your parties unforgettable with our delicious food. We cater to events of all sizes, ensuring a delightful experience with our focus on authentic taste, superior quality, impeccable hygiene, and ultimate convenience. Let us make your celebrations truly special","E, 1/146/147, Jai Maruthi Layout, Bts Layout, Arekere, Bengaluru, Karnataka 560076, 560076",9.16E+11,
Just Bake,Cafe        ,,"220b Whitefield Main Road, 560066",+91 96630 45455,
Tilam,Chinese        ,,"Meenal Tower 50/1 Girish 1'st Cross Road Residency Road, 560002",+91 80 4900 4111,
Biryani Bar,Indian        ,,"43/a Atturu Main Road, 560064",+91 98454 17111,
Nanjil Nadu,Indian        ,,"9 11th Main Road, 560070",+91 83308 80000,
7th Heaven,Chinese        ,,"The Solitaire Hotel, 3, 7th Floor, Off Kumara Krupa Road, Madhavnagar, Near Esteem Arcade, Race Course Road, Oppositte Bank Of Baroda, Mahadevanagar, 560020",+91 80 4044 3636,
Rai's Cuisines,Chinese        ,,"40 Kirloskar Layout 1'st Cross Street Hesaraghatta Main Road, 560013",+91 77953 67881,
AJ International Restaurant,        ,,"15/1 Hospital Road, Hotel AJ International, Shivaji Nagar, 560051",41971111,1.5
Le Arabia Restaurant,Indian Asian Arabic      ,"Le Arabia offers authentic Arabic , North Indian , South Indian and Chinese Cuisine in a casual dining atmosphere. We are committed to providing you with an exceptional dining experience every time you walk through our doors. Each dish on our menu is prepared using the freshest and highest quality ingredients. We consider Le Arabia to be a truly rabic restaurant honoring many different cooking","WOC Road, 881/B-1, Bimaljyothi LIC Colony, 2nd Stage, 560079",+91 80 2323 3000,
Sandwich and Burgerman,Fast Food        ,,"37, Hosur Road, Near Masjid, Electronics City, 560100",+91 99802 17415,
Ambur Darbar Biriyani Point,Caribbean        ,,"777/25/1 7th Cross, Yeshwanthpur, 560022",+91 96115 30844,
3G's - Gulp and Groove,Chinese Indian       ,"Pubbing, casual dining, banquet hall & a club - we've got it all in one destination for you! Come over to Rajajinagar's hottest rooftop pub & groove to some pop music & enjoy some lip-smacking continental, Indian & Chinese food. Valet parking available!","59 A Block 8'th Main Road, Subramanya nagar, Rajajinagar 2nd stage, 560055",+91 96206 50033,4.5
Multi Cakes,Cafe        ,,"86, 3rd Main, Dollars Colony, 4th Phase, JP Nagar, 560078",+91 99865 88882,
Ice Cream Lab,Indian        ,,"7 Koramangala Road, 560095",,
Friends Bar and Restaurant,Caribbean        ,,"Bagalagunte Hesaraghatta Main Road, T Dasarahalli, 560073",+91 98809 21583,
Pizza Hut,Pizza        ,,"Unit Gf05, Ground Floor, Nagavara Village, Thanisandra Main Raod, 560077",+91 1800 202 2022,
Seasons,Chinese Indian       ,,"36/A - 1 Venkata Swamy Building Hosur Road, Near Bmtc Bus Stop, 560100",(+91) +80 2852 1122,3.5
Halwai Junction,Indian        ,,"Besides Mother Dairy, 560064",+91 99723 06063,
Echakh Danah,        ,,"#146 & 147, 7th Main, 27th Cross, 4th Block, Jayanagar, 560011",,
Nikil Snacks Center,Asian        ,,"Pipe Line Road, Bhel Mini Colony, Jalahalli West, 560057",+91 99802 61764,
Crustys 79,Italian American       ,,"Rmz Infinity, Benniganahalli, Old Madras Road",+91 80 6066 7799,
Darjeeling Momo & More,Japanese Asian Tibetan      ,,"48, Sai Baba Temple Road, Opposite Top in Town Super Market, Cambridge Layout",+91 77959 58912,
Lacto Foods,Fast Food        ,,"27 Chikkagubbi Main Road, 560078",+91 95383 52286,
Dhansagar Coastal Restaurant,Indian Seafood       ,,"Btm Layout 2nd Stage, 7th Main, 7th Cross, 560076",+91 96066 93131,
Indian Food Court,Indian        ,,"Nit More, 800006",+91 88804 70988,
Thulsi n Thyme,International        ,,"100 Dwaraka Apartment 100 Feet Road, Indiranagar, 560038",+91 80 2527 1555,
Sai Foods,        ,,"43/4, Sai Temple Road, Near Family Mall, Marathahalli, 560053",+91 90083 53777,4.0
Pishon Pizza,Italian        ,,"6th Main, Defence Colony, Bangalore 560038, 560038",,
The Beer Joint,        ,,"Ground Floor & 28 Shop No 27, Off Double Road, 560038",+91 80 2525 0346,
Pulimunchi,Indian Seafood       ,,"Jm Plaza 35 Sankey Road, Sadashivanagar, 560080",,
Domino's Pizza,Pizza        ,,"Shop No. 6-7, 1st Main, 2nd Cross, Survey No. 14, Hosur Road, 560010",+91 80 4120 2620,5.0
Hotel Prashanth Restaurant,Cafe        ,,"121, 6th Cross, Gandhinagar, Majestic",+91 80 4148 3339,
Vaishali Deluxe,Indian        ,,"2nd Floor 5th Main No 20 1st a Cross, Opposite Kamakhya Theatre, 560085",+91 80 2679 0111,
Nesara,Chinese        ,,"Ground Floor Doddaballapur Main Road 3 4th Main Road, 560064",+91 80 3296 4890,
Five Star Chicken,Fast Food        ,,"33 & 34 Infront Of Nilgiris Supermarket Hennur Main Road, 560033",+91 72044 57064,3.5
Restaurant Dolfin,Diner        ,,"47 Kodigehalli Circle, 560092",+91 86602 62656,
R R Vatika Punjabi Dhaba,Indian        ,,"3/6, 10th Cross Road, Ideal Home, Rajarajeshwari Nagar, 560098",+91 70196 81068,
Kaka Cafe,Chinese        ,,"9 Marks Inn Hotel, 9, 2nd Floor, St. Marks Road",+91 80 2211 2888,
And It Was Called Yellow Modernist Desi Kitchen + Bar,Indian        ,,"No.8, 2nd Floor 60ft Main Road, G Block , Sahakar Nagar, 560092",9.16E+11,
Mohabbat Desi Restaurant,Indian        ,,"Mohabbat Desi Restaurantnchandapura - Anekal Rd, Marsur, 562106",+91 81508 27333,
Eclipse,International        ,,"23, Old Airport Road, The Leela Galleria",+91 99456 65447,
Pizza Hut,Pizza        ,,"32 2nd Main Road, 560003",+91 80 2331 2752,
Raw Experiences,        ,,"36 4th B Cross Road, 560095",,
Vinn,Pizza        ,,"22 Iti Layout Main Road, 560072",+91 80 4199 9113,
Biryani Palace,Chinese Indian       ,,"Akar Apartment, VS Raju Road, Kumara Park West, 560020",23341201,
Sri Ranghavendra Hot Chips,Fast Food        ,,"409, Dr Rajkumar Road, 12th Main, 6th Block, Rajarajeshwari Nagar, 560098",+91 98456 27627,
Shanthi Sagar Fast Food,Cafe        ,,"16/50, 1st Main, Maruthi Nagar, Near Zion Assembly Of God Church, Madiwala, Madiwala, Near Zion Assembly Of God Church, 560068",+91 80 2552 0346,4.5
Nimma Abhi Ruchi Veg,Cafe        ,,"#5/3, R K Puram, Gandhinagar, 560009",+91 89715 11042,
Gallop Bar,International        ,,"Total Mall Davanam Plaza Nimhans Hosur Road, Davanam Sarovar Portico Suites, 560011",+91 80 4933 3555,
"Four Seasons, Bengaluru",Brew Pub Cafe European Pub Central European Central Asian   ,,"Four Seasons, Mekhri Circle, Bengaluru 32, 560032",,
Manjushree Sagar,Caribbean        ,,"Manjushree Sagar Hessarghatta Main Road Bagalgunte Circle, 560057",+91 99804 84922,
Pizza Hut,Pizza        ,,"12 Dr Rajkumar Road, 560010",+91 1800 202 2022,
Biryani Express,        ,,"5 Trr Complex Shop No Thavarekare Main Road, 560029",+91 80 6555 5860,4.5
Malberry,Indian        ,,"Vijay Kiran Apartments 32 Near Richmond Town, 560047",+91 98456 95410,
Grillzilla,Barbecue        ,,"Kodigehalli Road, 560036",+91 77600 74714,
Meme Foodies Corner,Chinese Indian Arabic      ,"The delicious and hygienic homely restaurant in Bangalore City. No artificial flavors, preservatives and colors in our food.","L-191, Silk Board Bus Stand, Hsr Layout, Sector 6, 560102",+91 79946 17766,
Sri Vinayaka Bar and Restaurant,Asian        ,,"23 Muniyappa Building Jalahalli Cross, T Dasarahalli, Opposite Sathish Petrol Bunk, 560057",+91 94485 45069,
The Rising Dough,Deli        ,"At Rising Dough Special Things Come Small. We create gourmet bite size preludes and sensational dessert experiences. We use the best ingredients to make the most delicious preludes and desserts you've ever eaten. We believe that eating small is sophisticated. Most of our delicacies are individual servings which you can serve to your guest with style and ease. Take time to look into our menu and order for your party. If you have anything in mind that is not in the menu, we can help you with it. Just give us a call. Why cater for your parties with us? Parties are social events, and you want to maximize the time you spend with your guests, This is where The Rising Dough will fill a place at your parties. Our selections are planned and crafted into neat individual servings to save you time and energy in organizing the party food. All you have to do is, place these on your serving dishes and viola. The desserts come in stylish individual serving containers which you can offer to your guests in style and ease without worrying about the decoration on the dessert going sloppy. Baby Showers, Birthdays, Graduations, Valentines, Mother's Day, Father's Day, Coming of Age, Engagements, Anniversaries, Holidays, Just Because and Special Events are some of the occasions and milestones that will become lives unforgettable memories. The Rising Dough is here to help you make these moments memorable. Look at our MENU and place your order with us.","D604 Akme Ballet Outer Ring Road, Doddenakundi,, 560037",+91 97408 60446,
Khan Saheb,Barbecue        ,,"10 Panathur Main Road, 560103",+91 98456 68822,
KK Momo House,Japanese        ,,"160, Chelekera Main Road, Banaswadi Outer Ring Road, Opposite Bangalore City College, Kalyan Nagar, 560043",+91 90359 00873,
Aaditya Coastal & Multicuisine Fine Dine,Chinese Seafood       ,,"L 10, Lic Building, Sector 11, Jeevan Bhima Nagar",+91 99456 65447,
Dr. Sheesha,Italian Chinese       ,"The ideal place for those who enjoy Dr.sheesha, good food, good music and sunsets! Visit us to kick back, unwind and simply hang out with your pals.","93/1 Old Airport Road, Near Soch Showroom, Marathahalli, 560017",+91 80 4680 9324,
Sangam - Kuch Khatti! Kuch Meethi!,Indian        ,,"12, Sangam Building, 2nd Cross, Next Syndicate Bank, Gandhinagar",9.18E+12,3.5
Paakashala,Chinese Indian       ,"Paakashala is a rare theme based multi cuisine vegetarian restaurant featuring a total and complete experience for customers. A top “Customer focused” high quality, hygienic, tasty foods offered in North, South, Chinese & Continental Delicacies.","Shop 37, Aster Hospital Campus, 24th Main Road, 1st Phase, JP Nagar, 560078",+91 93809 09952,4.0
Chick Blast,African        ,,"No.50, 17th Cross, M.C.Road, Vijayanagar, 560040",+91 97316 50008,
Aahar Bhavan,Cafe        ,,"33 Aahar Bhavan Aahar Bhavan 15th Cross 7th Main, 560076",+91 99645 64245,
Friendly Fried Chicken,Fast Food        ,,"1, Jumma Masjid Road, Shivajinagar, 560001",+91 98809 13154,
Go Naati,Indian        ,,"968 41st Cross Road, 560010",+91 84948 44801,
Kotian Paradise a/C Family Restaurant,Cafe        ,,"793/1 17'th E Main Road, Rajaji Nagar, 560010",+91 80503 57657,
Bismilla Kabab & Biryani Centre,Chinese        ,,"64, 80 Feet Road, Subbanapalya, Kalyan Nagar, 560040",+91 99806 83339,
Priya Anda Ka Funda,Chinese        ,,"5, 1st Main, 5th Cross, Dwarka Nagar, 3rd Stage, Near Pesit College, Banashankari",+91 96202 93569,
Ravitejas Annapoorna,Chinese        ,,"46, 80 Feet Road, Subbyanapalya, Kalyan Nagar, 560040",+91 98803 29642,
Ahaar Dhama,Chinese        ,,"26/1, 16th Cross, JP Nagar, 5th Phase, 560078",+91 99805 93555,
Chillies Restaurant,Chinese        ,,"32/1, Hutchins Road, Cooke Town, Near Ambedkar Dental College, Frazer Town, 560084",+91 80 3251 8840,4.0
Ashwini Fast Food,Chinese Fast Food       ,,"9th Cross, New Thippasandra Main Road",+91 81059 20761,
Donne Biryani Hatti,Indian        ,,"157 8th Main Road, 560052",1.10E+11,
Mallnad Hotel Restaurant,Chinese        ,,"Saraswathipur Main Road, Oppsite Sri Sathya Santhi Ganapathi Temple, Nandini Layout, Rajajinagar, 560096",+91 94485 42819,
Huko Mukho Hangla,Indian        ,,"11 Kullappa Circle, 560084",+91 95914 18658,
Sabarwal Bar & Restaurant,Chinese        ,,"45/1, 11Th Cross, Near Karnataka Bank, Wilson Garden",+91 80 2223 6894,
Kolkatha's Dum Biriyani & Roll Centre,Chinese Fast Food       ,,"6/2, 1st Cross, Old Binnamangala Krishna Temple Road, 1st Stage, Off 100 Feet Road, Indiranagar, 560038",+91 81232 37957,
Shalimar,Indian        ,,"3 C. M. H. Road, 560038",+91 80 2525 1328,
Malabar Thattukada Bangalore,Indian        ,,"101 Marathalli Ring Road, 560037",+91 73384 91788,
Hotel New Lathifia Plaza Restaurant,Chinese        ,,"7 6'th Main Road, Gandhi Nagar, Near-Hotel Hindustan, 560009",+91 97385 02245,
Kadambam,Indian        ,,"56 22nd Cross Road, 560011",+91 80 3095 5438,
Chowpatty,Indian        ,,"3049 80 Feet Road, 560038",+91 99168 20043,
Royal Restaurant,Chinese        ,,"6, Hkp Road, Broadway Road, Shivajinagar, 560051",,
Roll Nation,Fast Food        ,,"Shop No- 47 , Sec-46-c",+91 96208 54231,
A1 Star Biryani,Fast Food        ,,"102, Kaikondrahalli, Sarjapur Road, 560034",+91 97389 03295,
Sri Brahmi Upahar,Chinese Cafe International      ,,"46 Coconut Avenue Road, Opposite Axis Bank Atm, Malleshvaram, Opposite Axis Bank ATM, 560003",+91 91644 22714,
Hotel Masthi Kabab Restaurant,Chinese        ,,"56, Lakshman Reddy Building, Devarabisanahalli, Outer Ring Road, Opposite Passport Office, Bellandur, 560103",+91 90364 78861,
Sai Palace,        ,,"465, Tank Bund Road, Rajajinagar, Milk Colony, Near Hdfc Bank Atm, Malleshwaram",+91 80 2337 8272,
Hotel New Food Palace,Chinese        ,,"No 123 Hotel New Food Palace 1'st Main Road Dr Rajkumar Circle, 560060",+91 89707 88723,
Bollywood Adda,Indian        ,,"77 Itpl Main Road, 560037",1.10E+11,
Rayal Spice Andra Restaurant,Indian        ,,"76 Itpl Main Road, 560037",+91 80 4116 2611,
Sri Lakshmi Upahar,Indian Cafe       ,,"100 100 Feet Ring Road, BTM, Opposite BTM Bustand, 560076",+91 98457 40368,
Eat Well,Chinese        ,,"39, S.R Layout, Wind Tunnel Road, Old Airport Road, Opposite Omega Health Care, Murugeshpalya, 560017",+91 74065 22007,
Sri Gajanana Fruit Juice Centre,Healthy        ,,"Vanshee Tower Home Town Ground Floor Outer Ring Road, 560056",,
Durgashree Samruddhi Grand,Indian        ,,"Magadi Main Road, Near Omkar Tent House Bus Stop, Sunkafakatte",+91 96867 76398,
Howrah Bridge Hsr Layout,Indian        ,,"76 11th Main Road, 560102",+91 80 4120 1717,
Bake Mark Bakery & Coolbar,Turkish        ,,"# 12 1'st Main Road, S G Palya, Drc Post, 560029",,
Cafe Flavorz,        ,,"Indiranagar, 5600038",,
Namdev Sweets Stall,        ,,"99 1'st Main Road, Opposite-Sri Anjaneya Temple, J C Nagar, 560006",+91 80 2598 4136,4.0
Gali Parathae Wali,Indian        ,,"26 Garudachar Palya Road, 560048",+91 99025 46574,
Thirumala Green Palace,Chinese        ,,"Manchayakana Halli, Wonder La Cross, Kengeri Area, 560060",+91 98808 10887,
Atr Swaruchi,Indian        ,,"86 1st Main Road, 560018",+91 80 2660 3530,
Humsa Kaun,Indian        ,,"94/95 4th Cross, Prithvi Layout ECC Road, 560066",+91 99161 32033,
Chung Wah Express,Chinese        ,,"3169 1st Main Road, 560008",+91 80 4123 8088,
Indus Belly,Indian        ,,"56 11th Main Road, 560041",+91 80 2245 1451,
Shradhi Lunch Home,        ,,"6th B Main Road, Shankarnagar, Mahalakshmi Layout, Rajajinagar Area, 560010",+91 80 2598 1308,
Yoyo Cafe,        ,,"5th Cross, 10th Main Vasanth Nagar, 560001",+91 96170 74930,
Brookfield Cafe,        ,,"323 Ganesh Temple Road, 560037",+91 80 6546 2897,
Punjabi Aunthentic Food,Indian        ,,"26 K H B Main Road, Kaveri Nagar, R T Nagar, Opposite Iibs College, 560032",+91 96117 17904,5.0
Turmeric - Andhra Delicacies,Chinese        ,,"1575/55, East End Main Road, 9th Block, Jayanagar, 560041",+91 80 4965 3070,
Dragon's Kitchen,Chinese        ,,"758 19th Main Road, 560102",+91 80 6444 8888,
Three Dots And A Dash - Jp Nagar,Bar Pub       ,,"47/1 9th Cross Road, 560078",,
Lucky Da Dhaba,Chinese        ,,"155, 1st Floor, 1st Main, 7th Block, Opposite Sai Baba Temple, Koramangala",+91 90360 61007,
Shanghai Court,Chinese        ,,"1687, SPR Nisarga Serenity 1st floor, 1ST main, 6th cross BEML Layout, Remco Bhel Layout, 5th Stage RR Nagar, 560098",+91 97311 75999,
Forking Rolls,Chinese        ,,"122/A, Khb Colony, Th Block, Near Hdfc Bank Atm, Koramangala",+91 98862 11162,
Food Hut,Chinese        ,,"42, 1st Main, 1st Block, Near Christ Collage, Koramangala, 560095",+91 73537 76618,
Adukale,        ,,"49 Margosa Road, 560003",+91 99860 31252,
Metro Chick,Fast Food        ,,"162, 2nd Cross, Jalvayu Vihar, Kammanahalli, Bangalroe, 560084",+91 80 6538 6538,
Sri Rajarajeshwari Chats,Fast Food        ,,"849, Slv Complex, 9th Cross, 3rd Stage, Beml Layout, Rajarajeshwari Nagar, 560098",+91 94495 02567,
Juiceland,Fast Food        ,,"40, 2nd Cross, 3rd Main, Cpr Layout, Kammanahalli",+91 97382 29388,
Chandani Chowk,        ,,"26 Splendid Plaza, Opposite Indian Gymkhana Club, 560005",+91 87227 55814,3.0
Bikanr Sweets,        ,,"1st Main Rd, Sahakar Nagar,, across from Public Library, 560092",+91 99017 48052,
King of Biryani,Chinese        ,,"57, Ign Towers, Banaswadi Main Road, Near Uttam Sagar, Banaswadi, 560043",+91 96860 09966,4.0
Rock N Roll,Fast Food        ,,"5 Kushal's Corner Main Road, Near Baiyappana Halli Police Station, 560037",+91 98802 48134,
Styx,        ,,"46 M G Road, 560025",1.08E+11,
Breadcrumbs Bakery,        ,,"No 989 Ambika Corner Bannerghatta Road Dc Road, 560076",+91 98862 88890,4.0
Cw Gandhi Nagar,        ,,"83 1st A Main Road, 560045",+91 75988 75988,
Ande Ka Funda,Fast Food        ,,"594, 8th Block, Near Mes School, Koramangala",+91 98864 52746,
Labbaik Fast Food,Fast Food        ,,"Ground Floor Near Bata Showroom 86 A M M Road, 560005",+91 80 2272 3377,
New Roll Centre,Fast Food        ,,"3081, 6th Main, Double Road, Indiranagar, 560038",+91 87921 36379,
Absolute Chinese Restaurant Rajajinagar,Chinese        ,,"543 Dr Rajkumar Road, 560010",+91 74066 63331,
Five Star Chicken,Fast Food        ,,"15/3, Double Road, Appa Reddy Palya, Next to Nethradhama Eye Hospital, Indiranagar, 560038",+91 81234 56504,
Sakae Japanese Restaurant,Japanese        ,,"99 Double Road, 560027",+91 80 2224 8655,
Just Coffee,Fast Food        ,,"35/3, Opposite Reliance Fresh, 8th Main, 16th Cross, Malleshwaram",+91 88612 38805,
Hot & Spicy,Turkish        ,,"3rd Cross Road, 560068",+91 77958 80425,
Slurp Chinese Restaurant,Chinese        ,,"10 5th Cross Road, 560084",+91 96067 74777,
New Raghu Refreshment,British        ,,"19/2 New Raghu S M Road Opposite Ayappa Temple, 560057",+91 80 2837 4580,
Empire Restaurant,Indian        ,,"47 Nagappa Road, 560020",+91 80 4041 4141,
The Hub,International        ,,"Next to Oxford College, Bommanahalli, BTM, Ibis Hotel, 560068",+91 80 4900 9090,
Five Star Chicken,Fast Food        ,,"M-22, Ground Floor, 10th Main, Opposite Hdfc Bank Atm, Jeevanbima Nagar, 560075",+91 81053 66669,
Swadist Uphara,Cafe        ,,"#200 Bvs Complex Bannerghatta Road, Bilekahalli, 560079",+91 90358 80772,4.0
Loka,        ,,"75 & 172, Bannerghatta Main Road JP Nagar, Greenpark Bengaluru, 560 083",+91 80665 15151,
Extra Bite,Fast Food        ,,"60/3, Nehru Road, Kammanahalli, 560084",+91 98866 32319,
Swastik Fast Food,Fast Food        ,,"146, Next to New Tandoori Point, Ashwath Nagar, Marathahalli",+91 99025 40102,3.0
Happy Chopsticks Chinese & Italian Cuisine,Chinese        ,,"871 Channasandra Chowk, 560098",+91 98445 50815,
Hookaholic Cafe,        ,,"55 Lalbagh Road, 560027",+91 88844 44499,
"M. V. R, Gas",        ,,"133 Lalbagh Road, 560027",9122238206,
New Zaika Kathi Roll & Momo's,Chinese        ,,"36th B Cross, Kanakapura Main Road, 7th Block, Near Nethradhama Hospital, Jayanagar, 560082",+91 97382 00240,
Shree Ganesh Fruit Juice Centre,Fast Food        ,,"Nagesh Reddy Building, Kaverappa Layout, Tulasi Theatre Road, Near Muneshwara Block, Marathahalli, 560052",+91 88922 34034,
Raenss Cafe,American        ,,"No 17/2 Opposite Frank Anthony Public School, 560008",+91 80 4122 5622,
Gold Coin Club,        ,,"18/1 Andree Road, 560027",+91 80 2212 7606,
Espncricinfo,Indian        ,,"1 Prim Rose Road, 560025",,
Blessings Fast Food,Chinese        ,,"180, Near Natraj Theatre, 2nd Main, Seshadripuram, 560020",,
Basilbistro,Chinese Wine Bar       ,,"2064, Siri Iris, Vanganhalli, Sector 1, 560102",+91 96065 96661,
Krishna Juice Centre,Indian        ,,"15 Venkatappa Garden Road, 560047",,
Kolkata Rolls,Fast Food        ,,"Battarahalli, Near Garden City College, Kr Puram",+91 90367 03406,
Dine in Restaurant,        ,,"No 1/1 K 5th Cross, Near Garuda Mall, 560025",+91 88845 55859,
Cool Corner,Fast Food        ,,"4th Block, Near Sony World Signal, Koramangala",+91 97423 77725,
Hungry Hogs,American        ,,"No. 70/1, 17th B Main, 4th Cross, 5th Block, Near Baby Mona School, Koramangala",+91 80 6583 1243,
Manjunatha Bar & Restaurant,        ,,"13/4, Am Road, Kalasipalyam, Near Popular Automobiles, V V Puram, 560002",+91 80 2670 0185,
Vtos Pizzeria,Pizza        ,,"49 1st Main Road, 560095",+91 78999 66280,
Pooja Veg,        ,,"38/6 Coles Road, Near Ing Vyshya Bank, 560005",+91 99451 38488,
Domino's Pizza,Pizza        ,,"M.n. Plaza, Ground Floor, 63/154, 1st Main, Dr.rajkumar Road, Rajajinagar, 560010",+91 80 2313 2240,
Indian Bakery,Indian        ,,"32 Near Vijaya Bank, Near Vijaya Bank, Adugodi, 560030",+91 80958 72822,
